CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,40.0,50.0,0.0,0.0,3390.0,0.0
2,52.0,75.0,10.0,302.0,479.0,90.0
3,45.0,70.0,30.0,157.0,428.0,90.0
4,62.0,69.0,10.0,1138.0,1355.0,90.0
5,60.0,66.0,10.0,1247.0,1434.0,90.0
6,42.0,65.0,10.0,15.0,208.0,90.0
7,16.0,42.0,20.0,209.0,944.0,90.0
8,58.0,70.0,20.0,1059.0,1246.0,90.0
9,34.0,60.0,20.0,2035.0,3288.0,90.0
10,28.0,70.0,10.0,2090.0,3271.0,90.0
11,35.0,66.0,10.0,2311.0,3283.0,90.0
12,35.0,69.0,10.0,2428.0,3127.0,90.0
13,25.0,85.0,20.0,1772.0,2625.0,90.0
14,22.0,75.0,30.0,2135.0,2834.0,90.0
15,22.0,85.0,10.0,1586.0,2625.0,90.0
16,20.0,80.0,40.0,1858.0,2733.0,90.0
17,20.0,85.0,40.0,1512.0,2515.0,90.0
18,18.0,75.0,20.0,1895.0,2886.0,90.0
19,15.0,75.0,20.0,1299.0,2344.0,90.0
20,15.0,80.0,10.0,1461.0,2372.0,90.0
21,30.0,50.0,10.0,10.0,963.0,90.0
22,30.0,56.0,20.0,2062.0,3288.0,90.0
23,28.0,52.0,20.0,12.0,752.0,90.0
24,14.0,66.0,10.0,1316.0,2129.0,90.0
25,25.0,50.0,10.0,15.0,532.0,90.0
26,22.0,66.0,40.0,2177.0,2990.0,90.0
27,8.0,62.0,10.0,1036.0,2213.0,90.0
28,23.0,52.0,10.0,17.0,602.0,90.0
29,4.0,55.0,20.0,1010.0,2043.0,90.0
30,20.0,50.0,10.0,20.0,948.0,90.0
31,20.0,55.0,10.0,63.0,702.0,90.0
32,10.0,35.0,20.0,309.0,1412.0,90.0
33,10.0,40.0,30.0,336.0,1009.0,90.0
34,8.0,40.0,40.0,234.0,1295.0,90.0
35,8.0,45.0,20.0,954.0,1897.0,90.0
36,5.0,35.0,10.0,377.0,1534.0,90.0
37,5.0,45.0,10.0,819.0,1846.0,90.0
38,2.0,40.0,20.0,494.0,1607.0,90.0
39,0.0,40.0,30.0,637.0,1648.0,90.0
40,0.0,45.0,20.0,834.0,1641.0,90.0
41,36.0,18.0,10.0,1468.0,2329.0,90.0
42,35.0,32.0,10.0,2480.0,3195.0,90.0
43,33.0,32.0,20.0,2421.0,3070.0,90.0
44,33.0,35.0,10.0,2368.0,2937.0,90.0
45,32.0,20.0,10.0,1621.0,2364.0,90.0
46,30.0,30.0,10.0,1805.0,2564.0,90.0
47,34.0,25.0,30.0,1782.0,2395.0,90.0
48,30.0,35.0,10.0,2242.0,2877.0,90.0
49,36.0,40.0,10.0,2605.0,3266.0,90.0
50,48.0,20.0,10.0,812.0,1281.0,90.0
51,26.0,32.0,10.0,1842.0,2901.0,90.0
52,25.0,30.0,10.0,1883.0,2676.0,90.0
53,25.0,35.0,10.0,2070.0,2859.0,90.0
54,44.0,5.0,20.0,1078.0,1593.0,90.0
55,42.0,10.0,40.0,998.0,1481.0,90.0
56,42.0,15.0,10.0,897.0,1392.0,90.0
57,40.0,5.0,30.0,1083.0,1776.0,90.0
58,38.0,15.0,40.0,1426.0,2183.0,90.0
59,38.0,5.0,30.0,1133.0,1910.0,90.0
60,38.0,10.0,10.0,1392.0,2027.0,90.0
61,35.0,5.0,20.0,1180.0,2049.0,90.0
62,50.0,30.0,10.0,223.0,738.0,90.0
63,50.0,35.0,20.0,18.0,474.0,90.0
64,50.0,40.0,50.0,14.0,360.0,90.0
65,48.0,30.0,10.0,246.0,899.0,90.0
66,44.0,25.0,10.0,704.0,1197.0,90.0
67,47.0,35.0,10.0,393.0,942.0,90.0
68,47.0,40.0,10.0,12.0,424.0,90.0
69,42.0,30.0,10.0,641.0,1070.0,90.0
70,45.0,35.0,10.0,534.0,985.0,90.0
