CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,40.0,50.0,0.0,0.0,960.0,0.0
2,25.0,85.0,20.0,591.0,874.0,10.0
3,22.0,75.0,30.0,73.0,350.0,10.0
4,22.0,85.0,10.0,473.0,588.0,10.0
5,20.0,80.0,40.0,418.0,913.0,10.0
6,20.0,85.0,20.0,40.0,390.0,10.0
7,18.0,75.0,20.0,249.0,646.0,10.0
8,15.0,75.0,20.0,281.0,438.0,10.0
9,15.0,80.0,10.0,272.0,581.0,10.0
10,10.0,35.0,20.0,236.0,625.0,10.0
11,10.0,40.0,30.0,470.0,687.0,10.0
12,8.0,40.0,40.0,33.0,510.0,10.0
13,8.0,45.0,20.0,166.0,399.0,10.0
14,5.0,35.0,10.0,359.0,911.0,10.0
15,5.0,45.0,10.0,35.0,457.0,10.0
16,2.0,40.0,20.0,39.0,538.0,10.0
17,0.0,40.0,20.0,214.0,415.0,10.0
18,0.0,45.0,20.0,359.0,909.0,10.0
19,44.0,5.0,20.0,338.0,451.0,10.0
20,42.0,10.0,40.0,205.0,422.0,10.0
21,42.0,15.0,10.0,511.0,682.0,10.0
22,40.0,5.0,10.0,158.0,391.0,10.0
23,40.0,15.0,40.0,263.0,606.0,10.0
24,38.0,5.0,30.0,45.0,522.0,10.0
25,38.0,15.0,10.0,598.0,883.0,10.0
26,35.0,5.0,20.0,348.0,904.0,10.0
27,95.0,30.0,30.0,509.0,668.0,10.0
28,95.0,35.0,20.0,57.0,664.0,10.0
29,92.0,30.0,10.0,68.0,349.0,10.0
30,90.0,35.0,10.0,131.0,376.0,10.0
31,88.0,30.0,10.0,114.0,497.0,10.0
32,88.0,35.0,20.0,102.0,347.0,10.0
33,87.0,30.0,10.0,564.0,797.0,10.0
34,85.0,25.0,10.0,51.0,673.0,10.0
35,85.0,35.0,30.0,462.0,631.0,10.0
36,67.0,85.0,20.0,396.0,905.0,10.0
37,65.0,85.0,40.0,43.0,712.0,10.0
38,65.0,82.0,10.0,530.0,703.0,10.0
39,62.0,80.0,30.0,131.0,544.0,10.0
40,60.0,80.0,10.0,36.0,800.0,10.0
41,60.0,85.0,30.0,233.0,544.0,10.0
42,58.0,75.0,20.0,207.0,664.0,10.0
43,55.0,80.0,10.0,33.0,624.0,10.0
44,55.0,85.0,20.0,549.0,718.0,10.0
45,55.0,82.0,10.0,62.0,491.0,10.0
46,20.0,82.0,10.0,37.0,677.0,10.0
47,18.0,80.0,10.0,435.0,662.0,10.0
48,2.0,45.0,10.0,38.0,366.0,10.0
49,42.0,5.0,10.0,636.0,904.0,10.0
50,42.0,12.0,10.0,423.0,576.0,10.0
51,72.0,35.0,30.0,471.0,662.0,10.0
52,55.0,20.0,19.0,281.0,490.0,10.0
53,25.0,30.0,3.0,109.0,360.0,10.0
54,20.0,50.0,5.0,284.0,585.0,10.0
55,55.0,60.0,16.0,568.0,753.0,10.0
56,30.0,60.0,16.0,421.0,896.0,10.0
57,50.0,35.0,19.0,404.0,829.0,10.0
58,30.0,25.0,23.0,347.0,566.0,10.0
59,15.0,10.0,20.0,380.0,902.0,10.0
60,10.0,20.0,19.0,42.0,466.0,10.0
61,15.0,60.0,17.0,613.0,894.0,10.0
62,45.0,65.0,9.0,230.0,405.0,10.0
63,65.0,35.0,3.0,29.0,587.0,10.0
64,65.0,20.0,6.0,39.0,353.0,10.0
65,45.0,30.0,17.0,20.0,497.0,10.0
66,35.0,40.0,16.0,11.0,570.0,10.0
67,41.0,37.0,16.0,423.0,828.0,10.0
68,64.0,42.0,9.0,112.0,543.0,10.0
69,40.0,60.0,21.0,441.0,902.0,10.0
70,31.0,52.0,27.0,9.0,532.0,10.0
71,35.0,69.0,23.0,211.0,930.0,10.0
72,65.0,55.0,14.0,201.0,400.0,10.0
73,63.0,65.0,8.0,27.0,382.0,10.0
74,2.0,60.0,5.0,255.0,436.0,10.0
75,20.0,20.0,8.0,427.0,913.0,10.0
76,5.0,5.0,16.0,183.0,400.0,10.0
77,60.0,12.0,31.0,162.0,493.0,10.0
78,23.0,3.0,7.0,360.0,900.0,10.0
79,8.0,56.0,27.0,195.0,654.0,10.0
80,6.0,68.0,30.0,258.0,565.0,10.0
81,47.0,47.0,13.0,426.0,942.0,10.0
82,49.0,58.0,10.0,369.0,460.0,10.0
83,27.0,43.0,9.0,85.0,338.0,10.0
84,37.0,31.0,14.0,19.0,326.0,10.0
85,57.0,29.0,18.0,304.0,605.0,10.0
86,63.0,23.0,2.0,318.0,489.0,10.0
87,21.0,24.0,28.0,332.0,485.0,10.0
88,12.0,24.0,13.0,365.0,472.0,10.0
89,24.0,58.0,19.0,100.0,539.0,10.0
90,67.0,5.0,25.0,565.0,897.0,10.0
91,37.0,47.0,6.0,324.0,513.0,10.0
92,49.0,42.0,13.0,651.0,906.0,10.0
93,53.0,43.0,14.0,14.0,669.0,10.0
94,61.0,52.0,3.0,298.0,928.0,10.0
95,57.0,48.0,23.0,385.0,518.0,10.0
96,56.0,37.0,6.0,20.0,299.0,10.0
97,55.0,54.0,26.0,538.0,705.0,10.0
98,4.0,18.0,35.0,546.0,667.0,10.0
99,26.0,52.0,9.0,109.0,354.0,10.0
100,26.0,35.0,15.0,170.0,565.0,10.0
101,31.0,67.0,3.0,262.0,930.0,10.0
