CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,40.0,50.0,0.0,0.0,240.0,0.0
2,25.0,85.0,20.0,145.0,175.0,10.0
3,22.0,75.0,30.0,50.0,80.0,10.0
4,22.0,85.0,10.0,109.0,139.0,10.0
5,20.0,80.0,40.0,141.0,171.0,10.0
6,20.0,85.0,20.0,41.0,71.0,10.0
7,18.0,75.0,20.0,95.0,125.0,10.0
8,15.0,75.0,20.0,79.0,109.0,10.0
9,15.0,80.0,10.0,91.0,121.0,10.0
10,10.0,35.0,20.0,91.0,121.0,10.0
11,10.0,40.0,30.0,119.0,149.0,10.0
12,8.0,40.0,40.0,59.0,89.0,10.0
13,8.0,45.0,20.0,64.0,94.0,10.0
14,5.0,35.0,10.0,142.0,172.0,10.0
15,5.0,45.0,10.0,35.0,65.0,10.0
16,2.0,40.0,20.0,58.0,88.0,10.0
17,0.0,40.0,20.0,72.0,102.0,10.0
18,0.0,45.0,20.0,149.0,179.0,10.0
19,44.0,5.0,20.0,87.0,117.0,10.0
20,42.0,10.0,40.0,72.0,102.0,10.0
21,42.0,15.0,10.0,122.0,152.0,10.0
22,40.0,5.0,10.0,67.0,97.0,10.0
23,40.0,15.0,40.0,92.0,122.0,10.0
24,38.0,5.0,30.0,65.0,95.0,10.0
25,38.0,15.0,10.0,148.0,178.0,10.0
26,35.0,5.0,20.0,154.0,184.0,10.0
27,95.0,30.0,30.0,115.0,145.0,10.0
28,95.0,35.0,20.0,62.0,92.0,10.0
29,92.0,30.0,10.0,62.0,92.0,10.0
30,90.0,35.0,10.0,67.0,97.0,10.0
31,88.0,30.0,10.0,74.0,104.0,10.0
32,88.0,35.0,20.0,61.0,91.0,10.0
33,87.0,30.0,10.0,131.0,161.0,10.0
34,85.0,25.0,10.0,51.0,81.0,10.0
35,85.0,35.0,30.0,111.0,141.0,10.0
36,67.0,85.0,20.0,139.0,169.0,10.0
37,65.0,85.0,40.0,43.0,73.0,10.0
38,65.0,82.0,10.0,124.0,154.0,10.0
39,62.0,80.0,30.0,75.0,105.0,10.0
40,60.0,80.0,10.0,37.0,67.0,10.0
41,60.0,85.0,30.0,85.0,115.0,10.0
42,58.0,75.0,20.0,92.0,122.0,10.0
43,55.0,80.0,10.0,33.0,63.0,10.0
44,55.0,85.0,20.0,128.0,158.0,10.0
45,55.0,82.0,10.0,64.0,94.0,10.0
46,20.0,82.0,10.0,37.0,67.0,10.0
47,18.0,80.0,10.0,113.0,143.0,10.0
48,2.0,45.0,10.0,45.0,75.0,10.0
49,42.0,5.0,10.0,151.0,181.0,10.0
50,42.0,12.0,10.0,104.0,134.0,10.0
51,72.0,35.0,30.0,116.0,146.0,10.0
52,55.0,20.0,19.0,83.0,113.0,10.0
53,25.0,30.0,3.0,52.0,82.0,10.0
54,20.0,50.0,5.0,91.0,121.0,10.0
55,55.0,60.0,16.0,139.0,169.0,10.0
56,30.0,60.0,16.0,140.0,170.0,10.0
57,50.0,35.0,19.0,130.0,160.0,10.0
58,30.0,25.0,23.0,96.0,126.0,10.0
59,15.0,10.0,20.0,152.0,182.0,10.0
60,10.0,20.0,19.0,42.0,72.0,10.0
61,15.0,60.0,17.0,155.0,185.0,10.0
62,45.0,65.0,9.0,66.0,96.0,10.0
63,65.0,35.0,3.0,52.0,82.0,10.0
64,65.0,20.0,6.0,39.0,69.0,10.0
65,45.0,30.0,17.0,53.0,83.0,10.0
66,35.0,40.0,16.0,11.0,41.0,10.0
67,41.0,37.0,16.0,133.0,163.0,10.0
68,64.0,42.0,9.0,70.0,100.0,10.0
69,40.0,60.0,21.0,144.0,174.0,10.0
70,31.0,52.0,27.0,41.0,71.0,10.0
71,35.0,69.0,23.0,180.0,210.0,10.0
72,65.0,55.0,14.0,65.0,95.0,10.0
73,63.0,65.0,8.0,30.0,60.0,10.0
74,2.0,60.0,5.0,77.0,107.0,10.0
75,20.0,20.0,8.0,141.0,171.0,10.0
76,5.0,5.0,16.0,74.0,104.0,10.0
77,60.0,12.0,31.0,75.0,105.0,10.0
78,23.0,3.0,7.0,150.0,180.0,10.0
79,8.0,56.0,27.0,90.0,120.0,10.0
80,6.0,68.0,30.0,89.0,119.0,10.0
81,47.0,47.0,13.0,192.0,222.0,10.0
82,49.0,58.0,10.0,86.0,116.0,10.0
83,27.0,43.0,9.0,42.0,72.0,10.0
84,37.0,31.0,14.0,35.0,65.0,10.0
85,57.0,29.0,18.0,96.0,126.0,10.0
86,63.0,23.0,2.0,87.0,117.0,10.0
87,21.0,24.0,28.0,87.0,117.0,10.0
88,12.0,24.0,13.0,90.0,120.0,10.0
89,24.0,58.0,19.0,67.0,97.0,10.0
90,67.0,5.0,25.0,144.0,174.0,10.0
91,37.0,47.0,6.0,86.0,116.0,10.0
92,49.0,42.0,13.0,167.0,197.0,10.0
93,53.0,43.0,14.0,14.0,44.0,10.0
94,61.0,52.0,3.0,178.0,208.0,10.0
95,57.0,48.0,23.0,95.0,125.0,10.0
96,56.0,37.0,6.0,34.0,64.0,10.0
97,55.0,54.0,26.0,132.0,162.0,10.0
98,4.0,18.0,35.0,120.0,150.0,10.0
99,26.0,52.0,9.0,46.0,76.0,10.0
100,26.0,35.0,15.0,77.0,107.0,10.0
101,31.0,67.0,3.0,180.0,210.0,10.0
